Semester,Sl. No,Course code,Course name,Credits,L-T-P-S-C,Faculty,Department,Sections
Sem 1,1,,Statistics ,2.0,,Dr. Ramesh Athe,DSAI,Combined
Sem 1,2,,Introduction to DS and AI,2.0,,Dr. Abdul Wahid,CSE,Combined
Sem 1,3,,Open elective I,2.0,,,,
Sem 1,4,,Probability,2.0,,Dr. Lakshman,HSS ,Combined
Sem 1,5,,Digital Design,2.0,3-0-2-0-2,Dr. Jagadeesha R Bhat,ECE,Combined
Sem 1,6,,Problem Solving through Programming,4.0,3-0-2-0-4,"Dr. Sunil P V - Section A
 Dr. Sunil C K - Section B",CSE,2 sections
Sem 1,7,,English Language and Communication,3.0,3-0-0-0-3,Dr. Rajesh ,HSS ,2 sections
Sem 3,1,CS201,Discrete Mathematics,4.0,3-1-0-0-4,"Dr. Animesh Roy - Section A
Dr. Sadhvi - Section B",CSE,2 sections
Sem 3,2,CS207,OOP,4.0,3-0-2-0-4,"Dr. Pramod - Section A
Dr. Vivek - Section B",CSE,2 sections
Sem 3,3,CS208,Computer Architecture,4.0,3-0-2-0-4,Dr. Prabhu Prasad B M,CSE,2 sections
Sem 3,4,CS202,DAA,5.0,3-1-2-0-4,"Dr. Malay, Dr. Vivek Raj - Section A
Dr. Dibyajyothi - Section B",CSE,2 sections
Sem 3,5,MA201,Probability,4.0,3-1-0-0-4,Dr. Anand,HSS ,2 sections
Sem 3,6,,"Industrial Social
Psychology",3.0,3-0-0-0-3,(Dr. Navyashree),HSS ,2 sections
Sem 5,1,CS309,Statistics for Computer Science,4.0,3-1-0-0-4,"Dr. Ramesh Athe - Section A
Dr. Sunil C K - Section B",DSAI and CSE,2 sections
Sem 5,2,CS303,Computer Networks,5.0,3-1-2-0-5,"Dr. C B Akki - Theory, Tutorial
Dr. Sadhvi - Lab",CSE,2 sections
Sem 5,3,CS304,Artificial Intelligence,4.0,3-1-0-0-4,"Dr. Krishendu -Section A
Dr. Girish - Section B",CSE,2 sections
Sem 5,4,Theory basket ,Graph Theory/Advanced algorithm design,4.0,4-0-0-0-4,Dr. Pavan / Dr. Suvadip Hazra,CSE,2 sections
Sem 5,5,Open electives,"Cryptography and Information Security /
Parallel Computing / 
Internet of Things",4.0,4-0-0-0-4,Dr. Rajendra Hegadi / Dr. Pramod / Dr. Prakash,DSAI / CSE / ECE,
Sem 5,6,HS101,Environmental studies,2.0,0-0-0-8-2,,,
Sem 7,1,,Elective 1,4.0,4-0-0-0-4,,,
Sem 7,2,,Elective 2,4.0,4-0-0-0-4,,,
Sem 7,3,,Elective 3,4.0,4-0-0-0-4,`,,
Sem 7,4,,Elective 4,4.0,4-0-0-0-4,,,
Sem 7,5,,Mini project II,2.0,0-0-0-8-2,,,
